id,code_kpgz,name
0,01.13.13.01.01,РАСХОДНЫЕ МАТЕРИАЛЫ И КОМПЛЕКТУЮЩИЕ ДЛЯ ЛАЗЕРНЫХ ПРИНТЕРОВ И МФУ
1,01.09.08.01.08,АККУМУЛЯТОРЫ СВИНЦОВЫЕ ДЛЯ ЗАПУСКА ПОРШНЕВЫХ ДВИГАТЕЛЕЙ
2,01.11.02.01.01,ПЕРФОРАТОРЫ
3,01.11.02.03.01.90,"ИНСТРУМЕНТ МЕРИТЕЛЬНЫЙ ЭЛЕКТРОННЫЙ, ОПТИЧЕСКИЙ И ЭЛЕКТРОННО-ОПТИЧЕСКИЙ ОБЩЕГО НАЗНАЧЕНИЯ"
4,01.02.11.04.14.02,"СОСТАВНЫЕ И ЗАМЕНЯЕМЫЕ ЧАСТИ, ПРИНАДЛЕЖНОСТИ И КОМПЛЕКТУЮЩИЕ ДЛЯ ОБОРУДОВАНИЯ СТОМАТОЛОГИЧЕСКОГО ПРОЧИЕ"
5,01.02.11.04.05,"СОСТАВНЫЕ И ЗАМЕНЯЕМЫЕ ЧАСТИ, ПРИНАДЛЕЖНОСТИ И КОМПЛЕКТУЮЩИЕ ДЛЯ ОБОРУДОВАНИЯ ФУНКЦИОНАЛЬНОЙ ДИАГНОСТИКИ"
6,01.02.11.03.17.01,ТЕЛЕЖКА МЕДИЦИНСКАЯ УНИВЕРСАЛЬНАЯ
7,03.31.03.05.01.40,АРЕНДА БУРОВЫХ УСТАНОВОК С ЭКИПАЖЕМ
8,01.11.06.02.01.03,ТРУБЫ СТАЛЬНЫЕ
9,01.16.04.01,КРЕСЛА ОФИСНЫЕ
10,01.02.10.55.01,СРЕДСТВО ДЕЗИНФИЦИРУЮЩЕЕ ДЛЯ МЕДИЦИНСКИХ УЧРЕЖДЕНИЙ
11,01.09.08.01.05,ЗАПАСНЫЕ ЧАСТИ ДЛЯ ЛЕГКОВЫХ АВТОМОБИЛЕЙ
12,01.02.11.04.04,"СОСТАВНЫЕ И ЗАМЕНЯЕМЫЕ ЧАСТИ, ПРИНАДЛЕЖНОСТИ И КОМПЛЕКТУЮЩИЕ ДЛЯ ОБОРУДОВАНИЯ МОНИТОРИРОВАНИЯ ФУНКЦИЙ"
13,01.10.03.05.01,УСТРОЙСТВА ЗАРЯДНЫЕ ДЛЯ АККУМУЛЯТОРНЫХ БАТАРЕЕК
14,03.20.07,УСЛУГИ ПО СКЛАДИРОВАНИЮ И ХРАНЕНИЮ ИМУЩЕСТВА
15,02.17.01.03,ИЗГОТОВЛЕНИЕ МЕТАЛЛИЧЕСКИХ ИЗДЕЛИЙ
16,01.13.10.07,ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ СПЕЦИАЛИЗИРОВАННОЕ ДЛЯ ЗАЩИТЫ ИНФОРМАЦИИ
17,01.29,НАГРАДНАЯ ПРОДУКЦИЯ
18,01.11.06.01.02.06,ТРОЙНИКИ ИЗ ПОЛИЭТИЛЕНА
19,01.20.03.04.01.04,ЛОПАТЫ ДЛЯ УБОРКИ СНЕГА
20,01.10.04.03.09,БАТАРЕИ АККУМУЛЯТОРНЫЕ НИКЕЛЕВЫЕ
21,01.02.11.01.07.04.06,ЛАМПА УЛЬТРАФИОЛЕТОВАЯ БАКТЕРИЦИДНАЯ
22,01.11.06.02.01.05,ДЕТАЛИ ТРУБОПРОВОДОВ ИЗ ЧЕРНЫХ МЕТАЛЛОВ
23,01.11.01.01.10,ВОЗДУХОВОДЫ И ДЕТАЛИ СИСТЕМЫ ВЕНТИЛЯЦИИ
24,01.10.04.03.01,БАТАРЕИ АККУМУЛЯТОРНЫЕ СВИНЦОВО-КИСЛОТНЫЕ
25,01.20.03.03.06,КОНТЕЙНЕРЫ И ДРУГИЕ ЕМКОСТИ ДЛЯ МУСОРА ПЛАСТМАССОВЫЕ
26,01.10.06.07,СМЕСИ ГАЗОВ
27,01.10.06.05,АЗОТ
