id;code;name;parent_id
0;01.13.13.01.01;РАСХОДНЫЕ МАТЕРИАЛЫ И КОМПЛЕКТУЮЩИЕ ДЛЯ ЛАЗЕРНЫХ ПРИНТЕРОВ И МФУ;13
1;01.09.08.01.08;АККУМУЛЯТОРЫ СВИНЦОВЫЕ ДЛЯ ЗАПУСКА ПОРШНЕВЫХ ДВИГАТЕЛЕЙ;9
2;01.11.02.01.01;ПЕРФОРАТОРЫ;11
3;01.11.02.03.01.90;ИНСТРУМЕНТ МЕРИТЕЛЬНЫЙ ЭЛЕКТРОННЫЙ, ОПТИЧЕСКИЙ И ЭЛЕКТРОННО-ОПТИЧЕСКИЙ ОБЩЕГО НАЗНАЧЕНИЯ;11
4;01.02.11.04.14.02;СОСТАВНЫЕ И ЗАМЕНЯЕМЫЕ ЧАСТИ, ПРИНАДЛЕЖНОСТИ И КОМПЛЕКТУЮЩИЕ ДЛЯ ОБОРУДОВАНИЯ СТОМАТОЛОГИЧЕСКОГО ПРОЧИЕ;2
5;01.02.11.04.05;СОСТАВНЫЕ И ЗАМЕНЯЕМЫЕ ЧАСТИ, ПРИНАДЛЕЖНОСТИ И КОМПЛЕКТУЮЩИЕ ДЛЯ ОБОРУДОВАНИЯ ФУНКЦИОНАЛЬНОЙ ДИАГНОСТИКИ;2
6;01.02.11.03.17.01;ТЕЛЕЖКА МЕДИЦИНСКАЯ УНИВЕРСАЛЬНАЯ;2
7;03.31.03.05.01.40;АРЕНДА БУРОВЫХ УСТАНОВОК С ЭКИПАЖЕМ;81
8;01.11.06.02.01.03;ТРУБЫ СТАЛЬНЫЕ;11
9;01.16.04.01;КРЕСЛА ОФИСНЫЕ;16
10;01.02.10.55.01;СРЕДСТВО ДЕЗИНФИЦИРУЮЩЕЕ ДЛЯ МЕДИЦИНСКИХ УЧРЕЖДЕНИЙ;2
11;01.09.08.01.05;ЗАПАСНЫЕ ЧАСТИ ДЛЯ ЛЕГКОВЫХ АВТОМОБИЛЕЙ;9
12;01.02.11.04.04;СОСТАВНЫЕ И ЗАМЕНЯЕМЫЕ ЧАСТИ, ПРИНАДЛЕЖНОСТИ И КОМПЛЕКТУЮЩИЕ ДЛЯ ОБОРУДОВАНИЯ МОНИТОРИРОВАНИЯ ФУНКЦИЙ;2
13;01.10.03.05.01;УСТРОЙСТВА ЗАРЯДНЫЕ ДЛЯ АККУМУЛЯТОРНЫХ БАТАРЕЕК;10
14;03.20.07;УСЛУГИ ПО СКЛАДИРОВАНИЮ И ХРАНЕНИЮ ИМУЩЕСТВА;71
15;02.17.01.03;ИЗГОТОВЛЕНИЕ МЕТАЛЛИЧЕСКИХ ИЗДЕЛИЙ;43
16;01.13.10.07;ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ СПЕЦИАЛИЗИРОВАННОЕ ДЛЯ ЗАЩИТЫ ИНФОРМАЦИИ;13
17;01.29;НАГРАДНАЯ ПРОДУКЦИЯ;28
18;01.11.06.01.02.06;ТРОЙНИКИ ИЗ ПОЛИЭТИЛЕНА;11
19;01.20.03.04.01.04;ЛОПАТЫ ДЛЯ УБОРКИ СНЕГА;20
20;01.10.04.03.09;БАТАРЕИ АККУМУЛЯТОРНЫЕ НИКЕЛЕВЫЕ;10
21;01.02.11.01.07.04.06;ЛАМПА УЛЬТРАФИОЛЕТОВАЯ БАКТЕРИЦИДНАЯ;2
22;01.11.06.02.01.05;ДЕТАЛИ ТРУБОПРОВОДОВ ИЗ ЧЕРНЫХ МЕТАЛЛОВ;11
23;01.11.01.01.10;ВОЗДУХОВОДЫ И ДЕТАЛИ СИСТЕМЫ ВЕНТИЛЯЦИИ;11
24;01.10.04.03.01;БАТАРЕИ АККУМУЛЯТОРНЫЕ СВИНЦОВО-КИСЛОТНЫЕ;10
25;01.20.03.03.06;КОНТЕЙНЕРЫ И ДРУГИЕ ЕМКОСТИ ДЛЯ МУСОРА ПЛАСТМАССОВЫЕ;20
26;01.10.06.07;СМЕСИ ГАЗОВ;10
27;01.10.06.05;АЗОТ;10
28;03.07.03.01;ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И ТЕКУЩИЙ РЕМОНТ ЛЕГКОВЫХ АВТОМОБИЛЕЙ;60
29;01.10.01.02.01;МАСЛА МОТОРНЫЕ;10
30;01.11.03.01.99;МЕТАЛЛОИЗДЕЛИЯ ГОТОВЫЕ ПРОЧИЕ;11
31;01.11.03.01.02.02.01.19;УГОЛКИ СТАЛЬНЫЕ;11
32;01.13.04.02.02.05;МНОГОФУНКЦИОНАЛЬНОЕ УСТРОЙСТВО (МФУ);13
33;01.02.11.01.05.01.08;МОДУЛЬ СИСТЕМЫ МОНИТОРИНГА СОСТОЯНИЯ ПАЦИЕНТА, ЭЛЕКТРОКАРДИОГРАФИЧЕСКИЙ;2
34;01.02.11.03.21;СТОЙКИ ДЛЯ МЕДИЦИНСКОЙ ТЕХНИКИ;2
35;01.16.16.02.01;СТЕЛЛАЖИ СКЛАДСКИЕ МЕТАЛЛИЧЕСКИЕ;16
36;01.11.03.01.02.02.01.02;ШВЕЛЛЕРЫ СТАЛЬНЫЕ ГОРЯЧЕКАТАНЫЕ;11
37;01.11.02.02.03.15;МОЛОТКИ;11
38;01.11.04.03.02.05.06;КОРОБА КАБЕЛЬНЫЕ;11
39;01.04.01.08.02;ПАТРОНЫ ЗАЩИТНЫЕ УНИВЕРСАЛЬНЫЕ (ПЗУ);4
40;01.11.03.01.02.02.02.01;ПРОКАТ ЛИСТОВОЙ ГОРЯЧЕКАТАНЫЙ;11
41;01.11.01.03.11.99;ЗАПЧАСТИ И КОМПЛЕКТУЮЩИЕ ДЛЯ ОТОПИТЕЛЬНОГО ОБОРУДОВАНИЯ ПРОЧИЕ;11
42;01.20.10.01;РАСХОДНЫЕ МАТЕРИАЛЫ, КОМПЛЕКТУЮЩИЕ, ЗАПАСНЫЕ ЧАСТИ ДЛЯ КУХОННОГО ОБОРУДОВАНИЯ;20
43;01.16.03.01.02;БРИФИНГ- ПРИСТАВКИ;16
44;01.16.05.01.01.01;ТУМБЫ ОФИСНЫЕ ДЕРЕВЯННЫЕ;16
45;01.11.01.07.01.14;НАСОСЫ ВАКУУМНЫЕ;11
46;01.13.09.13;СТАНЦИИ РАДИОРЕЛЕЙНЫЕ ЦИФРОВЫЕ;13
47;03.07.03.03;ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И ТЕКУЩИЙ РЕМОНТ СПЕЦТЕХНИКИ;60
48;01.13.01.01.03;КОМПЬЮТЕРЫ ПЕРСОНАЛЬНЫЕ НАСТОЛЬНЫЕ (МОНОБЛОКИ);13
