id,id_ks,id_participant
0,9444925,0
1,9450306,0
2,9685932,1
3,9448880,2
4,9448880,3
5,9312582,4
6,9312582,5
7,9312582,6
8,9312582,7
9,9825508,8
10,9825508,9
11,9825508,10
12,9309695,11
13,9309695,12
14,9286427,13
15,9286427,14
16,9321282,15
17,9321282,16
18,9321282,17
19,9321282,18
20,9321282,19
21,9321282,20
22,9321282,21
23,9321282,22
24,9246101,23
25,9246102,23
26,9303254,24
27,9303254,25
28,9303254,26
29,9303254,27
30,9293939,28
31,9293939,24
32,9293939,25
33,9293939,26
34,9254743,29
35,9254743,30
36,9407314,31
37,9407314,32
38,9371300,33
39,9839636,34
40,9839636,35
41,9839636,36
42,9314890,37
43,9314890,38
44,9314890,39
45,9314890,5
46,9314890,40
47,9314890,41
48,9770783,42
49,9770783,43
50,9770783,12
51,9782228,42
52,9782228,43
53,9471774,44
54,9461759,45
55,9720503,46
56,9841114,47
57,9841114,48
58,9365888,49
59,9365888,12
60,9874933,50
61,9874933,51
62,9874933,52
63,9421451,53
64,9421451,54
65,9421451,35
66,9421451,55
67,9805353,56
68,9805353,16
69,9805353,57
70,9805353,58
71,9805353,59
72,9403281,60
73,9403281,61
74,9403281,62
75,9512201,63
76,9512201,64
77,9512201,65
78,9706003,66
79,9706003,67
80,9706003,68
81,9706003,69
82,9706003,70
83,9706003,71
84,9706003,72
85,9254921,73
86,9254921,74
87,9254921,75
88,9525685,76
89,9525685,77
90,9525685,78
91,9525685,79
92,9525685,80
93,9525685,81
94,9328778,82
95,9328778,83
96,9345029,84
97,9328537,85
98,9446628,86
99,9446628,87
100,9270546,88
101,9270546,89
102,9270546,90
103,9270546,91
104,9278879,92
105,9278879,93
106,9278879,94
107,9898409,95
108,9620087,96
109,9620087,19
110,9731353,51
111,9731353,97
112,9731353,98
113,9731353,99
114,9310450,100
115,9310450,90
116,9310450,101
117,9310450,91
118,9310450,102
119,9310450,103
120,9364269,104
121,9364269,105
122,9364269,106
123,9364269,107
124,9364269,108
125,9364269,109
126,9364269,110
127,9631914,111
128,9631914,112
129,9631914,113
130,9631914,114
131,9631914,115
132,9631914,116
133,9631914,117
134,9526708,118
135,9526708,119
136,9526708,120
137,9526708,121
138,9526708,122
139,9526708,64
140,9526708,123
141,9526708,124
142,9607836,125
143,9607836,126
144,9607836,127
145,9278982,128
146,9436525,129
147,9436525,130
148,9409034,131
149,9809855,132
150,9603195,97
151,9603195,133
152,9787246,134
153,9787246,135
154,9787246,136
155,9787246,137
156,9787246,138
157,9824511,139
158,9824511,140
159,9291139,141
160,9291139,142
161,9291139,143
162,9389238,144
163,9389238,145
164,9812011,146
165,9812011,147
166,9730748,135
167,9730748,148
168,9730748,149
169,9730748,136
170,9730748,137
171,9730748,150
172,9730748,151
173,9776770,152
174,9776770,153
175,9749143,154
176,9749143,125
177,9749143,43
178,9680608,155
179,9680608,156
180,9315742,157
181,9315742,92
182,9315742,158
183,9430284,159
184,9430284,160
185,9430284,161
186,9430284,162
187,9430284,163
188,9430284,121
189,9430284,164
190,9430284,165
191,9430284,166
192,9430284,167
193,9430284,168
194,9662510,169
195,9662510,170
196,9662510,171
197,9461055,172
198,9795253,173
199,9795253,174
200,9428557,175
201,9428557,176
202,9428557,143
203,9341261,64
204,9341261,177
205,9341261,178
206,9341261,179
207,9322806,180
208,9300364,181
209,9300364,182
210,9300364,183
211,9562888,184
212,9562888,97
213,9562888,185
214,9416186,186
215,9416186,187
216,9896581,188
217,9896581,189
218,9373493,62
219,9373493,49
220,9373493,190
221,9373493,191
222,9474096,192
223,9474096,193
224,9474096,194
225,9474096,195
226,9313007,61
227,9313007,196
228,9313007,197
229,9393122,198
230,9393122,60
231,9393122,199
232,9393122,160
233,9393122,200
234,9393122,201
235,9393122,202
236,9387132,203
237,9387132,160
238,9528961,204
239,9528961,205
240,9528961,132
241,9528961,206
242,9803999,132
243,9803999,207
244,9803999,208
245,9458923,209
246,9458923,210
247,9458923,211
248,9458923,212
249,9458923,213
250,9407976,91
251,9407976,214
252,9407976,65
253,9407976,215
254,9407976,216
255,9265862,29
256,9265862,217
257,9265862,218
258,9328115,219
259,9328115,172
260,9521436,157
261,9521436,220
262,9465468,157
263,9465468,92
264,9232287,221
265,9232287,222
266,9232287,223
267,9232287,224
268,9232287,217
269,9232287,218
270,9232287,225
271,9232287,226
272,9232287,64
273,9232287,227
274,9232287,228
275,9232287,229
276,9232287,230
277,9232287,216
278,9393411,60
279,9393411,231
280,9817683,232
281,9817683,233
282,9817683,234
283,9817683,235
284,9817683,236
285,9434772,104
286,9434772,105
287,9434772,196
288,9434772,237
289,9434772,3
290,9434772,238
291,9602624,239
292,9602624,231
293,9280701,240
294,9269284,241
295,9269284,242
296,9781809,243
297,9781809,244
298,9781809,245
299,9797615,246
300,9810363,246
301,9791101,246
302,9791926,246
303,9817236,246
304,9823088,246
305,9809562,246
306,9818566,246
307,9351125,92
308,9351125,93
309,9351125,247
310,9470539,248
311,9470539,249
312,9470539,250
313,9470539,251
314,9470539,252
315,9399763,253
316,9399763,87
317,9399763,254
318,9399763,215
319,9399763,255
320,9378917,256
321,9460721,257
322,9460721,258
323,9460721,259
324,9460721,260
325,9460721,261
326,9774623,262
327,9417393,263
328,9417393,264
329,9611455,265
330,9563992,266
331,9816502,267
332,9259491,24
333,9902328,268
334,9856390,269
335,9613944,270
336,9607531,271
337,9324580,93
338,9286288,272
339,9468748,273
340,9522114,274
341,9892558,275
342,9352543,276
343,9343472,242
344,9707139,277
345,9707139,278
346,9707139,67
347,9707139,279
348,9707139,280
349,9707139,281
350,9765823,185
351,9759346,282
352,9538067,283
353,9849323,284
354,9768402,284
355,9839726,285
356,9754726,286
357,9302718,178
358,9828139,284
359,9595780,156
360,9831953,287
361,9787872,288
362,9869668,284
363,9772836,285
364,9443649,289
365,9785567,290
366,9322173,291
367,9641448,292
368,9454910,293
369,9247014,294
370,9370371,295
371,9462739,296
372,9335460,297
373,9899226,298
374,9898906,298
375,9356233,172
376,9356233,64
377,9356233,49
378,9356233,178
379,9356233,179
380,9852270,299
381,9852270,3
382,9548371,300
383,9548371,301
384,9548371,302
385,9548371,303
386,9548371,117
387,9548371,304
388,9602271,305
389,9602271,150
390,9320447,306
391,9320447,307
392,9320447,308
393,9320447,309
394,9320447,178
395,9320447,310
396,9326069,88
397,9326069,311
398,9326069,201
399,9326069,312
400,9326069,229
401,9881618,313
402,9881618,278
403,9881618,73
404,9881618,314
405,9881618,315
406,9881618,279
407,9276444,316
408,9276444,317
409,9501501,318
410,9819926,319
411,9745059,320
412,9754976,321
413,9831562,287
414,9366389,254
415,9452807,322
416,9516131,323
417,9268429,324
418,9767574,325
419,9778170,326
420,9645157,327
421,9771613,319
422,9292167,328
423,9792516,329
424,9390407,330
425,9388687,331
426,9783517,332
427,9679637,333
428,9382563,334
429,9274736,335
430,9517630,254
431,9753456,336
432,9640682,337
433,9396383,244
434,9463014,338
435,9557352,339
436,9750312,326
437,9374863,340
438,9631152,340
439,9464201,322
440,9293705,341
441,9278881,342
442,9313424,252
443,9385166,343
444,9870834,344
445,9854521,254
446,9480592,345
447,9766619,346
448,9272263,92
449,9272263,93
450,9723142,132
451,9287859,347
452,9462623,62
453,9466726,62
454,9598050,237
455,9580041,348
456,9545803,155
457,9370455,349
458,9822231,350
459,9601256,350
460,9808392,351
461,9446071,352
462,9446071,353
463,9446071,354
464,9446071,342
465,9517819,355
466,9276604,93
467,9340681,356
468,9340681,357
469,9511983,358
470,9511983,359
471,9511983,360
472,9342346,92
473,9342346,93
474,9342346,361
475,9637100,348
476,9637100,362
477,9637100,355
478,9637100,363
479,9637100,3
480,9322881,334
481,9721287,364
482,9721287,365
483,9293102,366
484,9826297,367
485,9826297,368
486,9826297,369
487,9328870,370
488,9328870,371
489,9328870,372
490,9328870,334
491,9479347,373
492,9479347,374
493,9479347,334
494,9479347,375
