id;name
0;Москва г
1;Московская обл
2;Свердловская обл
3;Санкт-Петербург г
4;Ставропольский край
5;Самарская обл
6;Нижегородская обл
7;Ярославская обл
8;Ульяновская обл
9;Запорожская обл
10;Владимирская обл
11;Удмуртия Респ
12;Ленинградская обл
13;Калужская обл
14;Оренбургская обл
15;Татарстан Респ
16;Челябинская обл
17;Алтайский край
18;Дагестан Респ
19;Тверская обл
20;Башкортостан Респ
21;Тульская обл
22;административный округ
23;Краснодарский край
24;Саратовская обл
25;Калининградская обл
26;Брянская обл
27;Калмыкия Респ
28;Пермский край
29;Смоленская обл
30;Волгоградская обл
31;Липецк г
32;Мордовия Респ
33;Липецкая обл
34;Ростовская обл
35;Чувашия Респ
36;Бердск г
37;Курская обл
38;Тамбовская обл
39;Новгород г
40;Воронежская обл
41;Мурманская обл
42;Псковская обл
43;Электросталь г
44;Астраханская обл
45;Бурятия Респ
46;Иркутская обл
47;Тюменская обл
48;Кировская обл
49;Домодедово г
50;Ингушетия Респ
51;Тверь г
52;Рязанский район
53;Крым Респ
54;Севастополь г
55;Белгородская обл
56;Кузбасс обл
57;Новосибирская обл
58;Ивановская обл
59;Подольск г
60;Орловская обл
61;Хабаровский край
62;Мытищи г
63;Воронеж г
64;Алания Респ
65;Рязанская обл
66;Белоозерский пгт
67;Бабушкинский район
68;Басманный район
69;Чечня Респ
70;Пензенская обл
71;Отрадное г
72;Тула г
73;Омская обл
74;Томская обл
75;Иваново г
76;Костромская обл
77;Сарапул г
78;Дубна г
79;Район Выхино-Жулебино
80;Одинцово г
81;Район Очаково-Матвеевское
82;Красногорский р-н
83;Головинский район
84;Люберцы г
85;Калуга г
86;Бутырский район
87;Архангельская обл
88;Саратов г
89;Ростов-на-Дону г
90;Нахабино п
91;Курганская обл
92;Тагил г
93;Карачаево-Черкесия Респ
94;Серпухов г
95;Вологодская обл
96;Одинцовский р-н
97;Адыгея Респ
98;Коломна г
99;Район Левобережный
100;Чертаново Южное
101;Ижевск г
102;Мурманск г
103;Уфа г
104;Новгородская обл
105;Щелково г
106;Самара г
107;Люберецкий р-н
108;Забайкальский край
109;Кабардино-Балкария Респ
110;Магаданская обл
111;Карелия Респ
112;Воскресенский р-н
113;Тыва Респ
114;Тамбов г
115;Зеленоград г
116;Кольчугинский р-н
117;Южнопортовый район
118;Коми Респ
119;Туапсе г
120;Тюмень г
121;Ямало-Ненецкий АО
122;Ачинск г
123;Красноярский край
124;Майкоп г
125;Оренбург г
126;Конаково г
127;Ногинский р-н
128;Приморский край
129;Долгопрудный г
130;Видное г
131;Екатеринбург г
132;Район Лефортово
133;Сургут г
134;Рязань г
135;Дмитров г
136;Новоуральск г
137;Воскресенск г
138;Высоковск г
139;Брянск г
140;Район Арбат
141;Томск г
142;Хакасия Респ
143;Борский р-н
144;Бузулукский р-н
145;Кстово г
146;Белгород г
147;Челябинск г
148;Красногорск г
149;Ковров г
150;Новосибирск г
151;Октябрьский пгт
152;Ярославль г
153;Даниловский район
154;Солнечногорский р-н
155;Нарьян-Мар г
156;Омск г
157;Кетченеры п
158;Химки г
159;Народная Республика
160;Ангарск г
161;Останкинский район
162;Сергиево-Посадский р-н
163;Тейковский р-н
164;Путилково д
165;Коптевский мкр
166;Ставрополь г
167;Байконур г
168;Пушкино г
169;Район Черёмушки
170;Невинномысск г
171;Раменский р-н
172;Чукотский АО
173;Амурская обл
174;Истра г
175;Гора с
176;Алтай Респ
177;Зарайский р-н
178;Некрасовский п
179;Дмитровский р-н
180;Район Некрасовка
181;Пермь г
182;Все регионы
183;Район Отрадное
184;Почепский р-н
185;Саранск г
186;Волгоград г
187;Район Перово
188;Всеволожский р-н
189;Бутурлиновка г
190;Анапа г
191;Йошкар-Ола г
192;Сахалинская обл
193;Владимир г
194;Абакан г
195;Уральск с
196;Обнинск г
197;Пестовский р-н
198;Пильнинский р-н
199;Смоленск г
200;Район Замоскворечье
201;Димитровград г
202;Касимово д
203;Воротынск с
204;Белореченск г
205;Шелковская ст-ца
206;Железногорск г
207;Краснодар г
208;Киров г
209;Балашиха г
210;Кашира г
211;Кама с
212;Троицк г
213;Район Нагатино-Садовники
214;Северное Медведково
215;Протвино г
216;Жуковский г
217;Район Якиманка
218;Тверской район
219;Казань г
220;Полевской г
221;Солнечногорск г
222;Каменск-Уральский г
223;Радужный г
224;Бронницы г
